A New Report Generated On 8/6/2022 9:11:48 PM
Report Number, Level Count, Movement Speed, Score, Finish Time(s), StraightTiles Number, CurvedTiles Number,Total Distance Traveled, Total Obstacles Passed, Obstacles Hit, Obstacle Mistake Percent(%), Number of Turning Keys Pressed,Total Random Headings, Chance for Random Headings(%), Real Random Headings Percent(%), Time Off-track(s)
1,1,12,88,11.27,4,5,131.37,4,0,0.00,11,1,200.00,9.09,0.78
2,1,12,78,13.52,8,1,158.39,7,0,0.00,12,0,200.00,0.00,0.00
3,1,12,88,10.77,4,5,125.34,1,0,0.00,12,0,200.00,0.00,1.15
3,2,12,82,12.37,6,3,144.54,1,0,0.00,23,0,0.00,0.00,1.80
4,1,12,86,11.15,4,5,129.95,4,0,0.00,22,0,200.00,0.00,0.98
4,2,12,84,12.94,7,2,151.38,4,0,0.00,9,0,0.00,0.00,0.00
5,1,12,87,11.42,4,5,133.15,1,0,0.00,14,0,200.00,0.00,0.00
5,2,12,89,11.93,5,4,139.26,6,0,0.00,25,1,200.00,4.00,0.00
5,3,12,81,12.54,7,2,146.66,11,0,0.00,12,0,200.00,0.00,0.66
5,1,15,104,9.88,6,3,143.33,14,0,0.00,11,1,200.00,9.09,0.00
6,1,19,126,8.87,8,1,162.39,2,0,0.00,9,0,200.00,0.00,0.00
6,2,19,123,8.33,7,2,152.07,7,0,0.00,11,0,200.00,0.00,0.85
6,3,19,111,9.01,9,0,165.06,14,0,0.00,22,0,200.00,0.00,0.00
6,1,15,102,9.68,5,4,140.36,17,0,0.00,12,0,200.00,0.00,0.70
6,2,15,96,10.83,8,1,157.62,22,0,0.00,14,0,200.00,0.00,1.09
6,3,15,52,13.93,8,1,157.72,30,4,13.33,13,0,200.00,0.00,0.00
7,1,23,122,7.59,9,0,167.16,16,1,6.25,11,0,200.00,0.00,0.85
8,1,12,90,11.86,5,4,138.44,6,0,0.00,15,1,200.00,6.67,1.78
9,1,19,0,0.00,8,1,0.00,4,0,0.00,1,0,200.00,0.00,0.00
9,1,24,0,0.00,8,1,0.00,11,0,0.00,1,1,3200.00,100.00,0.00
9,1,18,0,0.00,6,3,0.00,16,0,0.00,1,0,3200.00,0.00,0.00
10,1,23,0,0.00,6,3,0.00,4,0,0.00,0,0,200.00,NaN,0.00
10,1,19,140,7.51,5,4,136.57,9,0,0.00,12,0,200.00,0.00,0.67
11,1,4,25,7.39,6,3,28.26,4,0,0.00,4,0,1050.00,0.00,0.00
11,1,19,121,8.02,6,3,146.20,9,0,0.00,6,0,200.00,0.00,0.00
11,2,19,118,7.76,5,4,141.29,11,0,0.00,8,0,200.00,0.00,0.92
11,3,19,126,8.79,8,1,160.95,15,0,0.00,9,0,200.00,0.00,0.96
11,1,12,85,12.95,7,2,151.48,21,0,0.00,8,0,200.00,0.00,0.00
12,1,23,139,25.81,17,12,485.92,2,3,150.00,19,0,200.00,0.00,8.92
12,2,23,119,27.36,20,9,552.75,4,5,125.00,24,0,200.00,0.00,9.17
13,1,19,112,30.52,17,10,487.13,2,3,150.00,37,0,200.00,0.00,14.76
14,1,12,0,0.00,17,10,0.00,2,0,0.00,1,0,200.00,0.00,0.00
15,1,23,147,24.54,20,7,488.09,14,2,14.29,84,0,200.00,0.00,6.04
15,2,23,121,25.34,20,7,471.84,24,5,20.83,75,1,200.00,1.33,3.37
16,1,12,108,40.73,17,10,466.05,11,1,9.09,89,2,200.00,2.25,3.17
17,1,19,134,34.82,20,7,594.94,11,2,18.18,65,2,200.00,3.08,10.93
17,2,19,158,26.28,23,4,493.41,26,2,7.69,34,1,200.00,2.94,2.60
17,3,19,148,29.89,21,6,502.42,39,4,10.26,47,3,200.00,6.38,7.15
17,1,12,113,47.36,18,9,545.14,46,5,10.87,98,3,200.00,3.06,9.45
17,2,12,108,58.76,19,8,635.73,54,10,18.52,122,4,200.00,3.28,30.29
17,1,35,170,22.30,17,10,617.00,61,13,21.31,73,0,100.00,0.00,14.20
18,1,23,168,23.44,19,8,496.21,11,1,9.09,64,0,200.00,0.00,9.39
19,1,23,176,21.27,20,7,481.77,9,0,0.00,54,0,200.00,0.00,5.26
20,1,28,124,38.38,17,10,686.61,14,10,71.43,108,2,200.00,1.85,22.63
20,1,23,141,30.71,18,9,557.02,48,20,41.67,81,2,200.00,2.47,17.79
21,1,15,128,37.45,19,8,459.61,14,4,28.57,67,1,200.00,1.49,10.53
21,1,21,135,33.03,17,10,516.53,37,14,37.84,85,4,200.00,4.71,12.66
