A New Report Generated On 8/6/2022 9:40:31 PM
Report Number, Trial Number, Max Move Speed, Min Move Speed, Number Speed Changes, Average Move Speed, Median Move Speed, Score, Finish Time(s), StraightTiles Number, CurvedTiles Number,Total Distance Traveled, Total Obstacles Passed, Obstacles Hit, Obstacle Mistake Percent(%), Number of Turning Keys Pressed,Total Random Headings, Chance for Random Headings(%), Real Random Headings Percent(%), Time Off-track(s)
7,0,15,13,2,11.20,15,65,14.88,4,5,193.59,0,1,Infinity,33,0,4.63,0.00,5.68
7,0,25,15,5,11.95,20,104,9.33,6,3,142.76,0,0,NaN,6,0,462.50,0.00,0.00
7,0,19,15,2,11.82,17,85,11.32,6,3,167.16,6,1,16.67,18,4,462.50,22.22,3.07
8,0,28,12,7,13.49,21,24,20.58,3,6,370.50,20,4,20.00,12,3,0.00,25.00,13.45
8,0,23,15,8,12.75,19,88,12.00,8,1,198.84,10,1,10.00,12,4,0.00,33.33,5.68
8,1,19,15,4,12.68,17,96,9.69,5,4,158.24,14,1,7.14,11,2,0.00,18.18,2.00
8,0,23,15,7,15.46,19,67,14.35,5,4,267.16,15,1,6.67,23,3,0.00,13.04,6.75
8,1,17,15,1,11.81,16,67,12.26,5,4,175.24,18,2,11.11,12,2,0.00,16.67,6.27
9,0,27,12,20,9.70,17,120,8.84,7,2,163.22,4,0,0.00,7,0,0.00,0.00,4.91
9,0,28,15,7,13.83,22,141,7.17,4,5,133.17,1,0,0.00,8,1,0.00,12.50,1.46
9,1,15,15,0,9.30,15,86,11.58,6,3,145.74,5,1,20.00,11,0,0.00,0.00,0.00
13,0,25,15,7,16.77,21,132,24.26,16,11,459.70,13,3,23.08,24,1,0.00,4.17,5.43
